Localidad,Id_Provincia,Id_Partido,Id_Localidad
25 de Mayo,2,1,1
Agustin Mosconi,2,1,2
Del Valle,2,1,3
Ernestina,2,1,4
Gobernador Ugarte,2,1,5
Lucas Monteverde,2,1,6
Norberto de la Riestra,2,1,7
Pedernales,2,1,8
San Enrique,2,1,9
Valdes,2,1,10
12 de Octubre,2,2,11
9 de Julio,2,2,12
Alfredo Demarchi (est. Facundo Quiroga),2,2,13
Dudignac,2,2,14
Manuel B. Gonnet (est. French),2,2,15
Morea,2,2,16
Patricios,2,2,17
Villa General Fournier (est. 9 de Julio Sud),2,2,18
Carhue,2,3,19
Colonia San Miguel Arcangel,2,3,20
Esteban Agustin Gascon,2,3,21
Maza,2,3,22
Rivera,2,3,23
Adolfo Gonzales Chaves (est. Chaves),2,4,24
De la Garma,2,4,25
Juan E. Barra,2,4,26
Vasquez,2,4,27
Alberti (est. Andres Vaccarezza),2,5,28
Coronel Segui,2,5,29
Mechita,2,5,30
Villa Ortiz (est. Coronel Mom),2,5,31
Adrogue,2,6,32
Burzaco,2,6,33
Claypole,2,6,34
Don Orione,2,6,35
Glew,2,6,36
Jose Marmol,2,6,37
Longchamps,2,6,38
Malvinas Argentinas,2,6,39
Ministro Rivadavia,2,6,40
Rafael Calzada,2,6,41
San Francisco Solano,2,6,42
San Jose,2,6,43
Otros,2,7,44
Arrecifes,2,8,45
Todd,2,8,46
Vina,2,8,47
Avellaneda,2,9,48
Crucesita,2,9,49
Dock Sud,2,9,50
Gerli,2,9,51
Pineyro,2,9,52
Sarandi,2,9,53
Villa Dominico,2,9,54
Wilde,2,9,55
Ayacucho,2,10,56
La Constancia,2,10,57
Solanet,2,10,58
Udaquiola,2,10,59
Azul,2,11,60
Cachari,2,11,61
Chillar,2,11,62
Bahia Blanca,2,12,63
Cabildo,2,12,64
General Daniel Cerri (est. General Cerri),2,12,65
Ingeniero White,2,12,66
Balcarce,2,13,67
Los Pinos,2,13,68
Napaleofu,2,13,69
Ramos Otero,2,13,70
San Agustin,2,13,71
Villa Laguna la Brava,2,13,72
Baradero,2,14,73
Irineo Portela,2,14,74
Santa Coloma,2,14,75
Villa Alsina (est. Alsina),2,14,76
Barker,2,15,77
Benito Juarez (est. Juarez),2,15,78
Lopez,2,15,79
Villa Cacique (est. Alfredo Fortabat),2,15,80
Berazategui,2,16,81
Berazategui Oeste,2,16,82
Carlos Tomas Sourigues,2,16,83
Centro Agricola el Pato,2,16,84
Guillermo E. Hudson,2,16,85
Juan Maria Gutierrez,2,16,86
Pereyra,2,16,87
Platanos,2,16,88
Ranelagh,2,16,89
Villa Espana,2,16,90
Barrio el Carmen (este),2,17,91
Berisso,2,17,92
Villa Arguello,2,17,93
Villa Nueva,2,17,94
Villa Progreso,2,17,95
Hale,2,18,96
Juan F. Ibarra,2,18,97
Pirovano,2,18,98
San Carlos de Bolivar (est. Bolivar),2,18,99
Urdampilleta,2,18,100
Bragado,2,19,101
Comodoro Py,2,19,102
General O'brien,2,19,103
Irala,2,19,104
Mechita (est. Mecha),2,19,105
Olascoaga,2,19,106
Warnes,2,19,107
Coronel Brandsen,2,20,108
Jeppener,2,20,109
Alto los Cardales,2,21,110
Barrio los Pioneros,2,21,111
Campana,2,21,112
Chacras del Rio Lujan,2,21,113
Lomas del Rio Lujan (est. Rio Lujan),2,21,114
Alejandro Petion,2,22,115
Barrio Belgrano-maximo Paz,2,22,116
Barrio el Taladro,2,22,117
Canuelas,2,22,118
Gobernador Udaondo,2,22,119
Maximo Paz,2,22,120
Santa Rosa,2,22,121
Uribelarrea,2,22,122
Vicente Casares,2,22,123
Capitan Sarmiento,2,23,124
La Luisa,2,23,125
Cadret,2,24,126
Carlos Casares,2,24,127
La Sofia,2,24,128
Mauricio Hirsch,2,24,129
Moctezuma,2,24,130
Santo Tomas,2,24,131
Smith,2,24,132
Carlos Tejedor,2,25,133
Colonia Sere,2,25,134
Curaru,2,25,135
Timote,2,25,136
Tres Algarrobos (est. Cuenca),2,25,137
Carmen de Areco,2,26,138
Pueblo Gouin,2,26,139
Tres Sargentos,2,26,140
Castelli,2,27,141
Centro Guerrero,2,27,142
Cerro de la Gloria,2,27,143
Castilla,2,28,144
Chacabuco,2,28,145
O'higgins,2,28,146
Rawson,2,28,147
Barrio San Cayetano,2,29,148
Chascomus,2,29,149
Manuel J. Cobo (est. Lezama),2,29,150
Benitez,2,30,151
Chivilcoy,2,30,152
Emilio Ayarza,2,30,153
Gorostiaga,2,30,154
La Rica,2,30,155
Moquehua,2,30,156
Ramon Biaus,2,30,157
San Sebastian,2,30,158
Colon,2,31,159
Pearson,2,31,160
Sarasa,2,31,161
Bajo Hondo,2,32,162
Balneario Pehuen Co,2,32,163
Pago Chico,2,32,164
Punta Alta (est Almirante Solier),2,32,165
Villa del Mar,2,32,166
Villa General Arias (est. Kilometro 638),2,32,167
Balneario Marisol,2,33,168
Coronel Dorrego,2,33,169
El Perdido (est. Jose A. Guisasola),2,33,170
Oriente,2,33,171
Coronel Pringles (est. Pringles),2,34,172
Indio Rico,2,34,173
Coronel Suarez,2,35,174
Huanguelen,2,35,175
Pasman,2,35,176
Santa Maria,2,35,177
Santa Trinidad,2,35,178
Villa la Arcadia,2,35,179
Daireaux,2,36,180
Salazar,2,36,181
Dolores,2,37,182
Sevigne,2,37,183
Ensenada,2,38,184
Villa Catela,2,38,185
Belen de Escobar,2,39,186
El Cazador,2,39,187
Garin,2,39,188
Ingeniero Maschwitz,2,39,189
Loma Verde,2,39,190
Maquinista F. Savio (este),2,39,191
Matheu,2,39,192
9 de Abril,2,40,193
Canning,2,40,194
El Jaguel,2,40,195
Luis Guillon,2,40,196
Monte Grande,2,40,197
Zona Aeropuerto Internacional Ezeiza,2,40,198
Arroyo de la Cruz,2,41,199
Capilla del Senor (est. Capilla),2,41,200
El Remanso,2,41,201
Los Cardales,2,41,202
Parada Orlando,2,41,203
Parada Robles - Pavon,2,41,204
Aeropuerto Internacional Ezeiza,2,42,205
Carlos Spegazzini,2,42,206
Jose Maria Ezeiza,2,42,207
La Union,2,42,208
Tristan Suarez,2,42,209
Bosques,2,43,210
Estanislao Severo Zeballos,2,43,211
Florencio Varela,2,43,212
Gobernador Julio A. Costa,2,43,213
Ingeniero Juan Allan,2,43,214
La Capilla,2,43,215
La Rotonda,2,43,216
Villa Brown,2,43,217
Villa San Luis,2,43,218
Villa Santa Rosa,2,43,219
Villa Vatteone,2,43,220
Blaquier,2,44,221
Florentino Ameghino,2,44,222
Porvenir,2,44,223
Centinela del Mar,2,45,224
Comandante Nicanor Otamendi,2,45,225
Mar del Sur,2,45,226
Mechongue,2,45,227
Miramar,2,45,228
General Alvear,2,46,229
Arribenos,2,47,230
Ascension,2,47,231
Ferre,2,47,232
General Arenales,2,47,233
La Angelita,2,47,234
La Trinidad,2,47,235
General Belgrano,2,48,236
Gorchs,2,48,237
General Guido,2,49,238
Labarden,2,49,239
General Juan Madariaga,2,50,240
General la Madrid,2,51,241
Las Martinetas,2,51,242
General las Heras (est. las Heras),2,52,243
Lozano,2,52,244
Villars,2,52,245
Chacras de San Clemente,2,53,246
General Lavalle,2,53,247
Pavon,2,53,248
Ranchos,2,54,249
Villanueva (ap. Rio Salado),2,54,250
Colonia San Ricardo (est. Iriarte),2,55,251
General Pinto,2,55,252
Germania (est. Mayor Jose Orellano),2,55,253
Villa Francia (est. Coronel Granada),2,55,254
Barrio Colinas Verdes,2,56,255
Barrio el Boqueron,2,56,256
Barrio el Casal,2,56,257
Barrio el Coyunco,2,56,258
Barrio la Gloria,2,56,259
Barrio Santa Paula,2,56,260
Batan,2,56,261
Camet,2,56,262
Chapadmalal,2,56,263
El Marquesado,2,56,264
Estacion Chapadmalal,2,56,265
Mar del Plata,2,56,266
Sierra de los Padres,2,56,267
Barrio Ruta 24 Kilometro 10,2,57,268
General Rodriguez,2,57,269
Barrio Parque General San Martin,2,58,270
Billinghurst,2,58,271
Ciudad del Libertador General San Martin,2,58,272
Ciudad Jardin el Libertador,2,58,273
Va Ma Irene de los Remedios de Escalada,2,58,274
Villa Ayacucho,2,58,275
Villa Ballester,2,58,276
Villa Bernardo Monteagudo,2,58,277
Villa Chacabuco,2,58,278
Villa Coronel Jose M. Zapiola,2,58,279
Villa General Antonio J. de Sucre,2,58,280
Villa General Eugenio Necochea,2,58,281
Villa General Jose Tomas Guido,2,58,282
Villa General Juan G. las Heras,2,58,283
Villa Godoy Cruz,2,58,284
Villa Granaderos de San Martin,2,58,285
Villa Gregoria Matorras,2,58,286
Villa Jose Leon Suarez,2,58,287
Villa Juan Martin de Pueyrredon,2,58,288
Villa Libertad,2,58,289
Villa Lynch,2,58,290
Villa Maipu,2,58,291
Villa Marques Alejandro Maria de Aguado,2,58,292
Villa Parque Pres Figueroa Alcorta,2,58,293
Villa Parque San Lorenzo,2,58,294
Villa San Andres,2,58,295
Villa Yapeyu,2,58,296
Baigorrita,2,59,297
Los Toldos,2,59,298
Zavalia,2,59,299
Banderalo,2,60,300
Canada Seca,2,60,301
Coronel Charlone,2,60,302
Emilio V. Bunge,2,60,303
General Villegas (est. Villegas),2,60,304
Piedritas,2,60,305
Santa Regina,2,60,306
Arroyo Venado,2,61,307
Casbas,2,61,308
Guamini,2,61,309
Laguna Alsina (est. Bonifacio),2,61,310
Henderson,2,62,311
Hurlingham,2,63,312
Villa Santos Tesei,2,63,313
William C. Morris,2,63,314
Ituzaingo Centro,2,64,315
Ituzaingo Sur,2,64,316
Villa Gobernador Udaondo,2,64,317
Del Viso,2,65,318
Jose C Paz,2,65,319
Tortuguitas,2,65,320
Agustin Roca,2,66,321
Agustina,2,66,322
Balneario Laguna de Gomez,2,66,323
Fortin Tiburcio,2,66,324
Junin,2,66,325
Laplacette,2,66,326
Morse,2,66,327
Saforcada,2,66,328
Aguas Verdes,2,67,329
Las Toninas,2,67,330
Lucila del Mar,2,67,331
Mar de Ajo - San Bernardo,2,67,332
San Clemente del Tuyu,2,67,333
Santa Teresita - Mar del Tuyu,2,67,334
20 de Junio,2,68,335
Aldo Bonzi,2,68,336
Ciudad Evita,2,68,337
Gonzalez Catan,2,68,338
Gregorio de Laferrere,2,68,339
Isidro Casanova,2,68,340
La Tablada,2,68,341
Lomas del Mirador,2,68,342
Rafael Castillo,2,68,343
Ramos Mejia,2,68,344
San Justo,2,68,345
Tapiales,2,68,346
Villa Eduardo Madero,2,68,347
Villa Luzuriaga,2,68,348
Virrey del Pino,2,68,349
Abasto,2,69,350
Angel Etcheverry,2,69,351
Arana,2,69,352
Arturo Segui,2,69,353
Barrio el Carmen Oeste,2,69,354
Barrio el Peligro,2,69,355
Barrio Gambier,2,69,356
City Bell,2,69,357
Colonia la Plata,2,69,358
